source_path,release_path,transformation_type,scientific_content_changed,source_sha256,release_sha256,notice
paper_artifacts/historical_event_replay/frozen/v1.0/frozen_benchmark_manifest.csv,data/historical_replay/v1.0/frozen_benchmark_manifest.csv,replaced 2 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT}; replaced 2 temporary/mount path occurrence(s),false,188513aae8c16aa876aa12961e121344ac2b0bdb18050f5adaf12998ed3ef53e,8c97aa47ee4a46dba95c7f34817fc940d5f04dd525999edc9330696ddd275aba,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/frozen_benchmark_manifest.json,data/historical_replay/v1.0/frozen_benchmark_manifest.json,replaced 3 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT}; replaced 2 temporary/mount path occurrence(s),false,e0b1cb2bcb6fc0e23069ec6474273c76e44fad43a6c88958d612763ad208ab93,fa58210adce8c59bc300bf491b21807b76ee6afbeb0fe2aaa1f52438bd59c9dc,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/inputs/code/run_local_blinded_replays.sh,data/historical_replay/v1.0/inputs/code/run_local_blinded_replays.sh,replaced 4 temporary/mount path occurrence(s),false,5ac79bf89ca5943f0d5980d22081042dfce95dd68ef24703318b5739d26ac2d7,9c2bd0993949320b5d64f6e96fbe3f7241537a12758298561f4386ca6bf5e881,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/benchmark_results.csv,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/benchmark_results.csv,replaced 4 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,ff1527e297e9c4f44c4d6ddf7687ae739107deb8d03459246be7b0d8fb78f04a,7e59dc5f21bbaa4874ecdec2c9dd8f61c2d7b6a1702be8746ba15c074444f9ee,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/benchmark_results.json,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/benchmark_results.json,replaced 4 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,fc4030ee598323b5a7f771a61081936a65920313158cf1f1691c16ff8dc14e17,46cd3bce490c61bae9d512cfbb2b5398157aa8d9cdc4b34cc56297531e00a5a9,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/benchmark_summary.md,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/benchmark_summary.md,replaced 1 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,24d2bc4c9a86235b4862c68bc4f1854ec5074c43374179b21955589d45d25af3,a2049512d6d630e8de43f3fefc1b2c6db1420ea9d3705101c2f2ea2114b617f5,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/k_rh03_absolute_timestep_budget/child_stderr.txt,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/k_rh03_absolute_timestep_budget/child_stderr.txt,replaced 29 temporary/mount path occurrence(s),false,93d10c25fa89c7a71da4345fb40054ac5916b3f40f9d622f99cd6d56c11f6703,5340b1710018c29dd1e2a9d58b353e1804dc871fd396d9e6163d5aa22ca04701,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/run_records.jsonl,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/run_records.jsonl,replaced 2 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,ed606628a09e8eb35dccd1b585f1430c8dadcbffccb01f4407642e3a5b2f8a73,80710c5bafe3c10aa226e0a70eac9b173f8a0fc10cfab51098fa9bba4fa30eef,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/run_summary.json,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/run_summary.json,replaced 5 occurrence(s) of private prefix with ${HISTORICAL_REPO_ROOT},false,f871e834a5a3cb50df204d595b76d938f0be1e7026d44b875b9810cc7a37d8f5,3b4b3279e7ff1553de67d5c97e97735571557d18e8eae02fb09517906e060cfc,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper_artifacts/historical_event_replay/frozen/v1.0/results/canonical_run/20260708T071912Z/stale_rh07_smoke_artifact/child_stderr.txt,data/historical_replay/v1.0/results/canonical_run/20260708T071912Z/stale_rh07_smoke_artifact/child_stderr.txt,replaced 14 temporary/mount path occurrence(s),false,053d2ede7004f8c326b0525b6e4090df79dcd9dd7256b8593b6e4bd20a3f763d,f59dfa254c5b2ce64652e9f1e6dd75d170fdc265b304c8e6e96efbefa40643cb,The unmodified historical artifact is preserved in the private immutable baseline. This public derivative replaces environment-specific paths while preserving scientific content and provenance relationships.
paper/agent_md_jctc/sections/02_framework.tex,paper/manuscript/sections/02_framework.tex,updated LaTeX figure paths for staged layout,false,ac7384e6f17884544cab82db8c597fd82df29baa9bbaef2329c8f9e378c04bd6,04a3e4de9b168ae5fd63bae5abb1683526c4ce4466f07decc6f07295d2ef1b5b,Release-layout path adaptation only; manuscript prose and scientific content are unchanged.
paper/agent_md_jctc/sections/03_results.tex,paper/manuscript/sections/03_results.tex,updated LaTeX figure paths for staged layout,false,293d4f9b7e5ce8de046a5174b07a478b31921030c4458105d5f45780fdb0c1de,d15723625a857fdbad93e6b88600ba3a2721bf7c7206b1dcada03db6dd7e8b68,Release-layout path adaptation only; manuscript prose and scientific content are unchanged.
scripts/figure_plot_common.py,scripts/plotting/figure_plot_common.py,adapted default data/output directories to release layout,false,e928fcdce4828ef6aaae46587c5a5487927b6db9acdc08b4c2d41d76f4d8cadb,981a22895ae83a610ffdcff006997114eaeeae7d45bb0318da2e8019d8309cd5,Release-layout path adaptation only; scientific values are read from staged CSV files.
,README.md,release-candidate metadata or documentation created,false,,65595e94e1edcf95d996732d588f3781f64daf3c1fb8e0827ba1c7134b4852ad,Release-authored file; no historical artifact is replaced.
,CITATION.cff,release-candidate metadata or documentation created,false,,8f5fff6fcd29e1e30fc04d0bf5c769435b497cf2224e81689d2d326a2be0e898,Release-authored file; no historical artifact is replaced.
,pyproject.toml,release-candidate metadata or documentation created,false,,5939b9982df2df98b227626a659e7359bef638bf86fcd68df0ffcc066dc6c672,Release-authored file; no historical artifact is replaced.
,RELEASE_BLOCKERS.md,release-candidate metadata or documentation created,false,,55326dde81de6da5ab4f20b2ca3c6b055c5af2cffbc1eadca06d7fc73869b36e,Release-authored file; no historical artifact is replaced.
,THIRD_PARTY_NOTICES.md,release-candidate metadata or documentation created,false,,3cfbfbe084ef9039be0f1b339b01e4d632e0725ac6b836a880e5fb80902370b8,Release-authored file; no historical artifact is replaced.
,campaigns/montmorillonite_desorption/README.md,release-candidate metadata or documentation created,false,,d5dd246204db8a1343705194ecfba3d7f4a9394361cf419eed0934f820441c68,Release-authored file; no historical artifact is replaced.
,campaigns/montmorillonite_desorption/claycode_inputs/README.md,release-candidate metadata or documentation created,false,,28c9bbb0b584ae1b007e23413ef755d0f35b7bdf8eb378efd445f4c98910535c,Release-authored file; no historical artifact is replaced.
,campaigns/montmorillonite_desorption/templates/README.md,release-candidate metadata or documentation created,false,,bff2604c40bcd3a0d2078c3febae2938aa5b748e666771cdc39411836831f3f2,Release-authored file; no historical artifact is replaced.
,data/authoritative_results/README.md,release-candidate metadata or documentation created,false,,ff6c55f6a8f44ed59f871eb7c3380f16303b173e81e684e42a185a434e12c70e,Release-authored file; no historical artifact is replaced.
,docs/architecture.md,release-candidate metadata or documentation created,false,,d6c532d777d4fccc115443881a4341c50187e5ae5102c44934057ebcca833937,Release-authored file; no historical artifact is replaced.
,docs/workflow.md,release-candidate metadata or documentation created,false,,c38843cabf5f47ac049599ec80ebc639a5be1466a31fc7521aadbcf708e3eb5e,Release-authored file; no historical artifact is replaced.
,docs/campaign_reproduction.md,release-candidate metadata or documentation created,false,,a30178cbfd8f29bea25472e00a8ebbb6eab89a8b27212dde1c22c01e099bef06,Release-authored file; no historical artifact is replaced.
,docs/figures_and_tables.md,release-candidate metadata or documentation created,false,,f2b6e18bc56bed1490175bf29e38c42c474deb76bd884a69b4962236382d78e6,Release-authored file; no historical artifact is replaced.
,docs/event_interface.md,release-candidate metadata or documentation created,false,,0b027670fcde167c7a003f941b448be3b4ddb375d3211955e9f13c5db3fc72d4,Release-authored file; no historical artifact is replaced.
,docs/provenance.md,release-candidate metadata or documentation created,false,,5092f89d94297e632e3563cfe0a6523b61f6efd4f15bee9b692ecc2107613d5e,Release-authored file; no historical artifact is replaced.
tests/test_gro_clayff_converter.py,tests/test_gro_clayff_converter.py,updated test fixture path(s) for staged scripts layout,false,747d10cfa180068f61be196f6a6e8fd0c3b8600365ada547b86b34f833c20eeb,747d10cfa180068f61be196f6a6e8fd0c3b8600365ada547b86b34f833c20eeb,Release-layout path adaptation only; test assertions are unchanged.
tests/test_molecule_id_normalization.py,tests/test_molecule_id_normalization.py,updated test fixture path(s) for staged scripts layout,false,20331be2e9a05c2b3c81e83d6f529c045b7d50408ca6b644db5c74e82fbf4f4b,f41b5959f2cda10a8f31e8935c8fc4134c0ca12ee806d9797253754a7639ec80,Release-layout path adaptation only; test assertions are unchanged.
tests/test_campaign_status.py,tests/test_campaign_status.py,escaped symbolic public path placeholder in Python f-string,false,9c81026df3d861573c72dcfea0744962a9da70f50d78adde3e9a89e9f411ba67,7a7c64fe6172d8630996224652ae7837a805892bc4632d07f8e16b4c2f5633ea,Release-layout or redistribution adaptation only; production scientific values are unchanged.
tests/test_gro_clayff_converter.py,tests/test_gro_clayff_converter.py,adapted preparation-script path and skip for intentionally omitted third-party ClayFF asset,false,747d10cfa180068f61be196f6a6e8fd0c3b8600365ada547b86b34f833c20eeb,f77c8b65274783fa2ebd60ae6a675ff2de3d1b067b6fac9ce0239dd00733252d,Release-layout or redistribution adaptation only; production scientific values are unchanged.
tests/test_molecule_id_normalization.py,tests/test_molecule_id_normalization.py,adapted validation-script path for staged layout,false,20331be2e9a05c2b3c81e83d6f529c045b7d50408ca6b644db5c74e82fbf4f4b,b82cc48a53369ab9a73e5db23c0bc319566c6da52567cec31dca21d3821669f8,Release-layout or redistribution adaptation only; production scientific values are unchanged.
scripts/gro_clayff_to_lammps_v2.py,scripts/gro_clayff_to_lammps_v2.py,compatibility copy at historical root-level script path,false,624efa850b3e67ae2876182021aee2b5998bc27aaa2ce82966780b1d20a45c78,624efa850b3e67ae2876182021aee2b5998bc27aaa2ce82966780b1d20a45c78,Byte-identical compatibility copy.
scripts/prepare_mt_data.py,scripts/prepare_mt_data.py,compatibility copy at historical root-level script path,false,408d102d0360bb47095735c99c71da8743a8301b0317dcde120f7a1cbb33ad4b,408d102d0360bb47095735c99c71da8743a8301b0317dcde120f7a1cbb33ad4b,Byte-identical compatibility copy.
scripts/check_lammps_data.py,scripts/check_lammps_data.py,compatibility copy at historical root-level script path,false,f713efbff4c5191c77d0e2dbaf5168c5bec7da00a95e9efc7cf9b68c8834ea41,f713efbff4c5191c77d0e2dbaf5168c5bec7da00a95e9efc7cf9b68c8834ea41,Byte-identical compatibility copy.
examples/campaigns/paper_rh_water_uptake_campaign.yaml,campaigns/montmorillonite_desorption/campaign.yaml,rewrote operational input/output and template paths to release-relative layout,false,0e794b54409a8de10edd4ea06625d68423a0a9a6443074d814659a1ec0508bfb,ab15e547785d58e3fda8d580657f9d0e7901bb4ead6a0d0e54b75e39774aad2c,Path-only release derivative; scientific parameters and identifiers are unchanged.
case.Mt_Ca_LC040_N8.yaml,campaigns/montmorillonite_desorption/cases/case.Mt_Ca_LC040_N8.yaml,rewrote operational input/output and template paths to release-relative layout,false,b382d95abb3fdd2436b91375893c00c0621ec9d4ae7ab17c3a28f81da66e7abd,128377438bf68698cf338e321ae6a98c607bebedef8931e86308e7c70f5cbac5,Path-only release derivative; scientific parameters and identifiers are unchanged.
case.Mt_K_LC040_N16.yaml,campaigns/montmorillonite_desorption/cases/case.Mt_K_LC040_N16.yaml,rewrote operational input/output and template paths to release-relative layout,false,04a33c5109abc16287c022e57de965743fdc569c9a55de8efa6f2fb7389b3008,12781c0f7dc7d1b0f39cf35272272e885c4f0b3b875abb703e3c9eaad293d2f4,Path-only release derivative; scientific parameters and identifiers are unchanged.
case.Mt_Na_LC030_N12.yaml,campaigns/montmorillonite_desorption/cases/case.Mt_Na_LC030_N12.yaml,rewrote operational input/output and template paths to release-relative layout,false,706a51a9a5f1cb38ccc9878813ea5db067f6dc27eea3d58304594d39929130cc,9189c6dd4b0642d3152ea7ca076d7c28493e5ca014db324c62fbbd73cd5fa764,Path-only release derivative; scientific parameters and identifiers are unchanged.
case.Mt_Na_LC040_N16.yaml,campaigns/montmorillonite_desorption/cases/case.Mt_Na_LC040_N16.yaml,rewrote operational input/output and template paths to release-relative layout,false,2d456b79a4e800b91251aff30c10f8d406aa061c2299e6adb39c47b684f5fa46,f1b7879c55f7e2c45308f92ab3313e21594322155923dcdfc7b9ac36fe7d3705,Path-only release derivative; scientific parameters and identifiers are unchanged.
case.Mt_Na_LC050_N20.yaml,campaigns/montmorillonite_desorption/cases/case.Mt_Na_LC050_N20.yaml,rewrote operational input/output and template paths to release-relative layout,false,e835d9795aee1cb5985a4035257a765f01e36354512686c90b23bed912b0d061,aa1a8e5f2b25bd6b29a24f9c81b1ce2cd064a7852220c28d23e641f564325388,Path-only release derivative; scientific parameters and identifiers are unchanged.
